Assembly Competition,System Assembly - SciApp Blast Integration,30018283,3309,10118,"<p><a href=""http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration"">http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration"">http://apps.topcoder.com/wiki/display/docs/SciApp+Blast+Integration</a></p>.1",30000412,30000471,Unnamed: 9,0,Unnamed: 11,2012-01-16T09:53:00.000-05:00,2012-01-18T09:53:00.000-05:00,Unnamed: 14,2012-01-21T09:58:00.000-05:00,Unnamed: 16,Unnamed: 17,http://apps.topcoder.com/forums/?module=Category&categoryID=10118,2012-01-25T04:41:00.000-05:00,Cancelled - Failed Review,720,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30018283,Java,"[1600, 800]",Post-Mortem,-200270132,2012-01-26T04:42:00.000-05:00,Unnamed: 29,3434,2012 TopCoder(R) Open,tco12
Assembly Competition,System Assembly - Data Analysis Command Line Tool with Mock implementaions,30018643,3482,10244,<p>see http://apps.topcoder.com/wiki/display/docs/System+Assembly+-+Data+Analysis+Command+Line+Tool+with+Mock+implementaions</p>,<p>see http://apps.topcoder.com/wiki/display/docs/System+Assembly+-+Data+Analysis+Command+Line+Tool+with+Mock+implementaions</p>,30000412,30001161,0.0,0,0.0,2012-02-08T10:51:00.000-05:00,2012-02-10T10:51:00.000-05:00,0.0,2012-02-13T10:56:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10244,2012-02-16T19:58:00.000-05:00,Completed,675.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30018643,JavaSpring,"[1500, 750]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Specification,Morpheus Status Manager Database Migration Specification,30019358,3692,10516,"<p><strong>The goal of this competition is to formalize, with the help of the PM/client, the source and destination fields/columns, their type and size, and any necessary <em>transformations</em> that need to take place when migrating data from the existing SM database (i.e. the source database) to the new database designed by this project (i.e. the target database). </strong></p>
<p><strong>In other words, this is not a typical contest so most of the typical design deliverables like use cases, sequence diagrams, or performance/security information are not required.&nbsp;</strong></p>","<p>Please refer to the wiki for the full requirements:</p>
<p><a href=""http://apps.topcoder.com/wiki/display/docs/Morpheus+Status+Manager+Database+Migration"">http://apps.topcoder.com/wiki/display/docs/Morpheus+Status+Manager+Database+Migration</a></p>",30001100,30001101,0.0,0,0.0,2012-01-16T08:14:00.000-05:00,2012-01-18T08:14:00.000-05:00,0.0,2012-01-21T08:19:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10516,2012-01-24T05:53:00.000-05:00,Completed,585.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30019358,0,"[1300, 650]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Test Scenarios,Morpheus Status Manager Test Scenarios 1,30019363,3692,10521,"<p>The client of this application has a business where the client receives cases from customers. These cases will be assigned to client's financial advisors and a case notification is created in client's existing application for tracking purpose. Advisors are responsible for handling the cases.&nbsp; After handling the cases, advisors will update the status of the case work at their business office.&nbsp; Thus based on case work completeness, the company CSR will update the status of the cases by updating case notification in the application. The existing application which the client uses is a third party vendor application called Status Manager(SM) Tool.&nbsp; The SM tool provides a single view of client current business status.&nbsp; It provides a set of following functionalities:</p>
<p>- &nbsp;&nbsp;&nbsp; Provides an API to create/update/retrieve/search case notifications<br /> - &nbsp;&nbsp;&nbsp; Provides an API to create/update/ retrieve/delete custom views of case notifications<br /> - &nbsp;&nbsp;&nbsp; Capturing alert emails send to financial advisors from&nbsp; business groups(users from client's internal applications)<br /> - &nbsp;&nbsp;&nbsp; Provides an API to define new notification types (email templates) to be used for creating case notifications in the application.<br /> - &nbsp;&nbsp;&nbsp; Provides a way to communicate on status of a case work in the form of notes to and from integrated applications.<br /> - &nbsp;&nbsp;&nbsp; Provide emailing facility on predefined set of events.<br /> - &nbsp;&nbsp;&nbsp; Provides a way to add email text to case notification body.</p>
<p>The goal of this project is rebuild the Status manager application from scratch which is flexible, easy to configure, reliable, presents rich user interface and nicely integrates with client's existing internal applications.</p>","<p>Please refer to the ARS and the <strong>prototype</strong> here <a href=""http://apps.topcoder.com/wiki/display/docs/Morpheus+Status+Manager+Submissions"">http://apps.topcoder.com/wiki/display/docs/Morpheus+Status+Manager+Submissions</a>. This contest will focus on use cases involving the Admin and System roles.</p>",30000440,30000310,0.0,0,0.0,2011-12-28T10:56:00.000-05:00,2011-12-30T10:56:00.000-05:00,0.0,2012-01-02T11:01:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10521,2012-01-06T08:40:00.000-05:00,Completed,270.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30019363,HTMLJavaJavaScript,"[600, 300]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - Genetic File Splitter Assembly,30019497,3482,10563,"<p>see detail requirement in <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Genetic+File+Splitter+Assembly"">wiki</a></p>","<p>see detail requirement in <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Genetic+File+Splitter+Assembly"">wiki</a></p>",30000412,30000471,0.0,0,0.0,2012-02-20T00:00:00.000-05:00,2012-02-22T00:00:00.000-05:00,0.0,2012-02-24T00:05:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10563,2012-02-27T14:10:00.000-05:00,Completed,225.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30019497,JavaSpring,"[500, 250]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,System Assembly - Data Analysis Open Grid Installation Assembly,30019499,3482,10565,<p>see http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Data+Analysis+Grid+Open+Grid+Installation+Assembly</p>,<p>see http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Data+Analysis+Grid+Open+Grid+Installation+Assembly</p>,30000412,30000471,0.0,0,0.0,2012-01-12T03:49:00.000-05:00,2012-01-14T03:49:00.000-05:00,0.0,2012-01-16T03:54:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10565,2012-01-20T03:54:00.000-05:00,Cancelled - Zero Submissions,360.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30019499,JavaOther,"[800, 400]",Post-Mortem,-201050567,2012-01-17T03:55:00.000-05:00,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Release Assembly - DST Performance Monitoring,30019555,2564,10585,<p>See attached RS for details</p>,<p>See attached RS for details</p>,30000412,30000471,0.0,0,0.0,2012-01-16T11:00:00.000-05:00,2012-01-18T11:00:00.000-05:00,0.0,2012-01-22T11:05:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10585,2012-01-26T11:05:00.000-05:00,Cancelled - Zero Submissions,585.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30019555,IBM DB2JavaJavaScriptMySQLPHP,"[1300, 650]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - Data Analysis File Combiners Assembly,30019763,3482,10600,"<p>see detail requirement in <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Data+Analysis+File+Combiners+Assembly"">wiki</a></p>","<p>see detail requirement in <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Data+Analysis+File+Combiners+Assembly"">wiki</a></p>",30000412,30000580,0.0,0,0.0,2012-02-20T00:00:00.000-05:00,2012-02-22T00:00:00.000-05:00,0.0,2012-02-24T00:05:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10600,2012-02-27T09:49:00.000-05:00,Completed,135.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30019763,JavaSpring,"[300, 150]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Module Assembly - Data Analysis Job Manager Assembly,30021420,3482,10657,"<p>see detail requirement in <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Data+Analysis+Job+Manager+Assembly"">wiki</a></p>","<p>see detail requirement in <a href=""http://apps.topcoder.com/wiki/display/docs/Module+Assembly+-+Data+Analysis+Job+Manager+Assembly"">wiki</a></p>",30000412,30000471,0.0,0,0.0,2012-02-20T00:23:00.000-05:00,2012-02-23T00:23:00.000-05:00,0.0,2012-02-26T00:28:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10657,2012-02-29T18:21:00.000-05:00,Completed,540.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30021420,JavaSpring,"[1200, 600]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Integration Assembly - Data Analysis Command Line Tool,30021421,3482,10658,"<p>see detail requirement in <a href=""http://apps.topcoder.com/wiki/display/docs/Integration+Assembly+-+Data+Analysis+Command+Line+Tool"">wiki</a></p>","<p>see detail requirement in&nbsp;<a href=""http://apps.topcoder.com/wiki/display/docs/Integration+Assembly+-+Data+Analysis+Command+Line+Tool"">wiki</a></p>",30000412,30000471,0.0,0,0.0,2012-03-05T06:16:00.000-05:00,2012-03-07T06:16:00.000-05:00,0.0,2012-03-10T06:21:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10658,2012-03-13T10:24:00.000-04:00,Completed,450.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30021421,JavaSpring,"[1000, 500]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
Assembly Competition,Release Assembly - Morpheus Status Manager Web Services Update 1,30023381,3692,10781,"<p><a href=""http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+1"">http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+1</a></p>","<p><a href=""http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+1"">http://apps.topcoder.com/wiki/display/docs/Release+Assembly+-+Morpheus+Status+Manager+Web+Services+Update+1</a></p>",30000412,30000471,0.0,0,0.0,2012-02-04T23:06:00.000-05:00,2012-02-07T23:06:00.000-05:00,0.0,2012-02-11T23:11:00.000-05:00,0.0,0.0,http://apps.topcoder.com/forums/?module=Category&categoryID=10781,2012-02-14T11:58:00.000-05:00,Completed,810.0,develop,https://www.topcoder.com/direct/contest/detail.action?projectId=30023381,JavaOracle 10gWeb ServicesXML,"[1800, 900]",Stalled,0,0,0.0,3434.0,2012 TopCoder(R) Open,tco12
